source,target,distance,rank,vegan,raupcrick,phy
Aguni,Aka,40.355621,5,0.0001,-1,132.2755208
Aguni,Amami,124.509289,13,0.027,-0.99,132.7597983
Aguni,Aragusuku,417.155701,26,0.0001,-1,133.098116
Aguni,Daito,404.689083,21,0.0056,-1,132.3677049
Aguni,Hateruma,440.862056,28,0.0001,-1,134.3616154
Aguni,Hatoma,411.987109,25,0.0001,-1,133.4222892
Aguni,Ie,51.850535,8,0.0001,-1,132.3148957
Aguni,Iheya,79.466893,12,0.0001,-1,132.390735
Aguni,Ikema,267.576457,15,0.0001,-1,134.0390955
Aguni,Iriomote,409.195684,23,0.0334,-0.98,131.859439
Aguni,Ishigaki,361.32533,19,0.0604,-0.98,132.1145343
Aguni,Izena,74.753166,10,0.0001,-1,132.8309205
Aguni,Kamiyama,45.53596,6,0.9078,0.66,135.1392569
Aguni,Kohama,406.70884,22,0.0002,-1,132.8814988
Aguni,Kudaka,78.879712,11,0.0001,-1,132.5528937
Aguni,Kume,36.374067,2,0.0001,-1,133.1445825
Aguni,Kuro,410.821639,24,0.0001,-1,133.0964729
Aguni,Miyako,264.414541,14,0.0049,-1,132.1965
Aguni,Nakanougan,451.042228,29,0.0829,-0.91,137.314991
Aguni,Okinawa,48.916786,7,0.7222,-0.34,131.4897895
Aguni,Osumi,510.580957,31,0.0364,-0.97,133.5970602
Aguni,Panari,420.055207,27,0.0001,-1,133.098116
Aguni,Senkaku,358.870944,18,0.0004,-1,134.328616
Aguni,Taketomi,399.439609,20,0.0001,-1,133.3900346
Aguni,Tarama,321.553931,17,0.0001,-1,133.7363106
Aguni,Tokashiki,39.545112,4,0.0001,-1,131.7228674
Aguni,Takora,297.371549,16,0.0102,-0.99,134.5052328
Aguni,Tonaki,22.159837,1,0.0001,-1,132.7825395
Aguni,Yagaji,74.626383,9,0.0001,-1,133.0318741
Aguni,Yonaguni,479.44036,30,0.0007,-1,132.0123038
Aguni,Zamami,36.69632,3,0.0001,-1,132.5528937
Aka,Amami,143.86478,13,0.2483,-0.76,132.9765036
Aka,Aragusuku,397.418061,26,0.0001,-1,130.7686391
Aka,Daito,393.99454,24,0.291,-0.69,132.6021309
Aka,Hateruma,420.470959,28,0.0001,-1,132.2647529
Aka,Hatoma,395.123128,25,0.0001,-1,130.9598129
Aka,Ie,71.330901,9,0.0001,-1,130.2084345
