source,target,distance,rank,vegan,raupcrick,phy
Osumi,Takora,53.809256,1,0.0001,-1,133.0301473
Osumi,Amami,202.71642,15,0.0641,-0.96,134.2034477
Osumi,Iheya,421.013662,19,0.0885,-0.92,133.5474102
Osumi,Izena,438.260775,20,0.0011,-1,132.7378752
Osumi,Okinawa,429.254768,28,0.9999,1,132.9714798
Osumi,Yagaji,459.955104,6,0.0056,-1,133.0084042
Osumi,Ie,465.447746,25,0.071,-0.94,132.5016648
Osumi,Aguni,510.580957,31,0.0364,-0.97,133.5970602
Osumi,Tonaki,535.342576,12,0.0038,-1,132.6463162
Osumi,Kume,550.397616,31,0.0127,-0.99,133.6526223
Osumi,Kamiyama,521.965819,31,0.9591,0.82,131.9987743
Osumi,Zamami,537.710878,14,0.0096,-0.99,132.6160092
Osumi,Aka,543.122707,31,0.0113,-0.99,132.5046822
Osumi,Tokashiki,535.965426,13,0.1725,-0.81,132.6658386
Osumi,Kudaka,514.40624,30,0.0097,-0.99,132.6160092
Osumi,Daito,478.561581,16,0.8665,0.54,134.224643
Osumi,Senkaku,810.200692,19,0.0368,-0.97,133.783417
Osumi,Ikema,779.380047,31,0.0225,-0.98,133.5041831
Osumi,Miyako,776.88153,31,0.9947,0.97,133.7884988
Osumi,Tarama,829.057759,20,0.0038,-1,133.2021948
Osumi,Ishigaki,866.599536,31,0.9963,0.96,133.5300092
Osumi,Hatoma,912.013981,31,0.0092,-0.99,132.8546708
Osumi,Yonaguni,967.580175,31,0.7884,0.27,133.5594182
Osumi,Iriomote,912.774728,31,0.8636,0.49,133.1489639
Osumi,Kohama,911.293993,31,0.1725,-0.81,133.3391314
Osumi,Taketomi,905.514116,22,0.0802,-0.93,133.9171574
Osumi,Kuro,917.289377,31,0.3781,-0.48,134.3398798
Osumi,Aragusuku,922.755734,31,0.0194,-0.99,132.800616
Osumi,Panari,925.731783,28,0.0197,-0.99,132.800616
Osumi,Nakanougan,952.297809,31,0.2206,-0.77,134.3521122
Osumi,Hateruma,947.144427,31,0.03,-0.97,133.9415856
Takora,Osumi,53.809256,1,0.0001,-1,133.0301473
Takora,Amami,56.810161,5,0.0468,-0.98,135.2033569
Takora,Iheya,210.518386,14,0.1151,-0.89,135.1033493
Takora,Izena,227.954248,14,0.0001,-1,131.3847971
Takora,Okinawa,223.946531,14,0.9794,0.74,133.7455813
Takora,Yagaji,252.483726,6,0.0032,-1,133.4700097
Takora,Ie,255.158091,14,0.0001,-1,131.7878328
Takora,Aguni,297.371549,16,0.0102,-0.99,134.5052328
Takora,Tonaki,322.435215,11,0.0001,-1,131.386768
Takora,Kume,336.90301,19,0.0001,-1,133.5303043
Takora,Kamiyama,312.333644,16,0.6437,0.03,127.1619508
Takora,Zamami,326.180021,13,0.0001,-1,131.4107301
Takora,Aka,331.44889,17,0.0001,-1,131.7612335
Takora,Tokashiki,324.740098,17,0.0208,-0.98,133.4263306
Takora,Kudaka,309.013987,16,0.0001,-1,131.4107301
Takora,Daito,386.554722,10,0.715,0.12,135.1607974
Takora,Senkaku,612.089098,29,0.0001,-1,131.8017228
Takora,Ikema,565.621974,29,0.0003,-1,133.2465223
Takora,Miyako,563.110847,29,0.9801,0.89,134.9035168
Takora,Tarama,615.984244,29,0.0001,-1,131.8696831
